MOF,Uptake,Pressure,H,C,N,F,Cl,Br,V,Cu,Zn,Zr,ASA_m^2/g_15prb,NASA_m^2/g_15prb,AV_cm^3/g_15prb,NAV_cm^3/g_15prb,POAV_cm^3/g_15prb,PONAV_cm^3/g_15prb,PLD,LCD,LFPD,Density,Volume,TotalDegreeOfUnsaturation,MetallicPercentage,OxygenToMetalRatio,ElectronegativeToTotalRatio,WeightedElectronegativityPerAtom,NitrogenToOxygen,Epoch40,Epoch1000,Epoch4000,Epoch40Ave,Epoch4000Ave,Epoch1000Ave,HenryCoeff_CO2
ABEXEM,0.197961955,40,0.006076626,0.021268192,0.006076626,0,0,0,0,0,0,0,719.474,0,0.0278279,0,0.144365,0,4.14331,4.82084,4.80387,1.76082,2633.04,45,14.28571429,6,0.444444444,1.484444444,0.333333333,20.09038681,99.10007927,257.2794175,0.139516575,1.786662622,0.688194995,0.00538352
ABEXEM,2.288865455,1000,0.006076626,0.021268192,0.006076626,0,0,0,0,0,0,0,719.474,0,0.0278279,0,0.144365,0,4.14331,4.82084,4.80387,1.76082,2633.04,45,14.28571429,6,0.444444444,1.484444444,0.333333333,20.09038681,99.10007927,257.2794175,0.139516575,1.786662622,0.688194995,0.00538352
ABEXEM,3.050029808,4000,0.006076626,0.021268192,0.006076626,0,0,0,0,0,0,0,719.474,0,0.0278279,0,0.144365,0,4.14331,4.82084,4.80387,1.76082,2633.04,45,14.28571429,6,0.444444444,1.484444444,0.333333333,20.09038681,99.10007927,257.2794175,0.139516575,1.786662622,0.688194995,0.00538352
ABEXIQ,0.267940958,40,0.006147722,0.021517027,0.006147722,0,0,0,0,0,0,0,692.242,0,0.0264041,0,0.142649,0,4.08045,4.80529,4.80529,1.7876,2602.59,45,14.28571429,6,0.444444444,1.484444444,0.333333333,24.24289589,104.8958808,263.075219,0.168353444,1.826911243,0.728443616,0.0103108
ABEXIQ,2.401741006,1000,0.006147722,0.021517027,0.006147722,0,0,0,0,0,0,0,692.242,0,0.0264041,0,0.142649,0,4.08045,4.80529,4.80529,1.7876,2602.59,45,14.28571429,6,0.444444444,1.484444444,0.333333333,24.24289589,104.8958808,263.075219,0.168353444,1.826911243,0.728443616,0.0103108
ABEXIQ,3.055786404,4000,0.006147722,0.021517027,0.006147722,0,0,0,0,0,0,0,692.242,0,0.0264041,0,0.142649,0,4.08045,4.80529,4.80529,1.7876,2602.59,45,14.28571429,6,0.444444444,1.484444444,0.333333333,24.24289589,104.8958808,263.075219,0.168353444,1.826911243,0.728443616,0.0103108
ABEXOW,0.244455945,40,0.006219075,0.021766761,0.006219075,0,0,0,0,0,0,0,667.433,0,0.0231732,0,0.134736,0,4.04921,4.7727,4.7549,1.81243,2572.73,45,14.28571429,6,0.444444444,1.484444444,0.333333333,25.37209249,106.4713889,264.6507271,0.176195087,1.837852272,0.739384645,0.00469978
ABEXOW,2.426077733,1000,0.006219075,0.021766761,0.006219075,0,0,0,0,0,0,0,667.433,0,0.0231732,0,0.134736,0,4.04921,4.7727,4.7549,1.81243,2572.73,45,14.28571429,6,0.444444444,1.484444444,0.333333333,25.37209249,106.4713889,264.6507271,0.176195087,1.837852272,0.739384645,0.00469978
ABEXOW,3.010077236,4000,0.006219075,0.021766761,0.006219075,0,0,0,0,0,0,0,667.433,0,0.0231732,0,0.134736,0,4.04921,4.7727,4.7549,1.81243,2572.73,45,14.28571429,6,0.444444444,1.484444444,0.333333333,25.37209249,106.4713889,264.6507271,0.176195087,1.837852272,0.739384645,0.00469978
ABEXUC,0.254802822,40,0.006281925,0.021986737,0.006281925,0,0,0,0,0,0,0,658.553,0,0.0234832,0,0.132999,0,4.0168,4.74458,4.72731,1.84813,2546.99,45,14.28571429,6,0.444444444,1.484444444,0.333333333,25.25857643,106.4970469,264.6763852,0.175406781,1.838030453,0.739562826,0.00442502
ABEXUC,2.388554921,1000,0.006281925,0.021986737,0.006281925,0,0,0,0,0,0,0,658.553,0,0.0234832,0,0.132999,0,4.0168,4.74458,4.72731,1.84813,2546.99,45,14.28571429,6,0.444444444,1.484444444,0.333333333,25.25857643,106.4970469,264.6763852,0.175406781,1.838030453,0.739562826,0.00442502
ABEXUC,2.966920879,4000,0.006281925,0.021986737,0.006281925,0,0,0,0,0,0,0,658.553,0,0.0234832,0,0.132999,0,4.0168,4.74458,4.72731,1.84813,2546.99,45,14.28571429,6,0.444444444,1.484444444,0.333333333,25.25857643,106.4970469,264.6763852,0.175406781,1.838030453,0.739562826,0.00442502
ABEYAJ,0.218616375,40,0.006369985,0.022294946,0.006369985,0,0,0,0,0,0,0,611.138,0,0.0214015,0,0.119492,0,3.9715,4.73097,4.71386,1.90641,2511.78,45,14.28571429,6,0.444444444,1.484444444,0.333333333,25.36571629,106.7940045,264.9733428,0.176150808,1.840092658,0.741625031,0.00464545
ABEYAJ,2.345960705,1000,0.006369985,0.022294946,0.006369985,0,0,0,0,0,0,0,611.138,0,0.0214015,0,0.119492,0,3.9715,4.73097,4.71386,1.90641,2511.78,45,14.28571429,6,0.444444444,1.484444444,0.333333333,25.36571629,106.7940045,264.9733428,0.176150808,1.840092658,0.741625031,0.00464545
